id,title,artist,mood,tint
longing-01,Tears in Heaven,Eric Clapton,longing,bg-sky-200
longing-02,Someone Like You,Adele,longing,bg-sky-200
longing-03,Fix You,Coldplay,longing,bg-sky-200
longing-04,The Night We Met,Lord Huron,longing,bg-sky-200
longing-05,I Will Always Love You,Whitney Houston,longing,bg-sky-200
longing-06,Yesterday,The Beatles,longing,bg-sky-200
longing-07,Nothing Compares 2 U,Sinead O'Connor,longing,bg-sky-200
longing-08,Skinny Love,Bon Iver,longing,bg-sky-200
longing-09,All I Want,Kodaline,longing,bg-sky-200
longing-10,Jealous,Labrinth,longing,bg-sky-200
longing-11,When I Look at You,Miley Cyrus,longing,bg-sky-200
longing-12,If I Die Young,The Band Perry,longing,bg-sky-200
longing-13,My Immortal,Evanescence,longing,bg-sky-200
longing-14,A Thousand Years,Christina Perri,longing,bg-sky-200
longing-15,Stay With Me,Sam Smith,longing,bg-sky-200
longing-16,Photograph,Ed Sheeran,longing,bg-sky-200
longing-17,See You Again,Wiz Khalifa,longing,bg-sky-200
longing-18,Dancing With Your Ghost,Sasha Alex Sloan,longing,bg-sky-200
longing-19,I Miss You,Blink-182,longing,bg-sky-200
longing-20,Without You,Mariah Carey,longing,bg-sky-200
remembrance-01,Candle in the Wind,Elton John,remembrance,bg-amber-200
remembrance-02,In the Living Years,Mike and The Mechanics,remembrance,bg-amber-200
remembrance-03,Dance With My Father,Luther Vandross,remembrance,bg-amber-200
remembrance-04,The Dance,Garth Brooks,remembrance,bg-amber-200
remembrance-05,Wind Beneath My Wings,Bette Midler,remembrance,bg-amber-200
remembrance-06,Hero,Mariah Carey,remembrance,bg-amber-200
remembrance-07,One Sweet Day,Mariah Carey,remembrance,bg-amber-200
remembrance-08,I'll Be Missing You,Puff Daddy,remembrance,bg-amber-200
remembrance-09,Supermarket Flowers,Ed Sheeran,remembrance,bg-amber-200
remembrance-10,Fire and Rain,James Taylor,remembrance,bg-amber-200
remembrance-11,Angel,Sarah McLachlan,remembrance,bg-amber-200
remembrance-12,Time to Say Goodbye,Andrea Bocelli,remembrance,bg-amber-200
remembrance-13,You Raise Me Up,Josh Groban,remembrance,bg-amber-200
remembrance-14,Hallelujah,Jeff Buckley,remembrance,bg-amber-200
remembrance-15,My Heart Will Go On,Celine Dion,remembrance,bg-amber-200
remembrance-16,Smallest Light,Ingrid Michaelson,remembrance,bg-amber-200
remembrance-17,Gone Too Soon,Michael Jackson,remembrance,bg-amber-200
remembrance-18,Slipping Through My Fingers,ABBA,remembrance,bg-amber-200
remembrance-19,Keep Me in Your Heart,Warren Zevon,remembrance,bg-amber-200
remembrance-20,What a Wonderful World,Louis Armstrong,remembrance,bg-amber-200
comfort-01,Lean on Me,Bill Withers,comfort,bg-emerald-200
comfort-02,Bridge Over Troubled Water,Simon and Garfunkel,comfort,bg-emerald-200
comfort-03,Let It Be,The Beatles,comfort,bg-emerald-200
comfort-04,You'll Never Walk Alone,Gerry and The Pacemakers,comfort,bg-emerald-200
comfort-05,True Colors,Cyndi Lauper,comfort,bg-emerald-200
comfort-06,You Are Not Alone,Michael Jackson,comfort,bg-emerald-200
